1	1	King	146.66	1	1
2	2	single	30.96	0	0
3	3	double	93.75	1	0
4	4	single	128.85	0	0
5	5	single	44.24	1	0
6	6	double	21.28	0	1
7	7	King	79.85	1	0
8	8	single	36.43	1	1
9	9	double	31.05	0	0
10	10	single	41.04	1	0
11	11	single	124.56	1	1
12	12	King	94.54	1	0
13	13	double	57.91	1	0
14	14	King	102.01	1	1
15	15	single	33.17	1	0
16	16	double	63.65	1	0
17	17	single	148.54	1	1
18	18	King	104.63	1	1
19	19	single	72.44	1	0
20	20	King	114.45	1	1
21	21	double	142.77	1	0
22	22	single	117.37	1	1
23	23	King	143.82	1	1
24	24	King	125.40	1	0
25	25	double	56.98	1	0
26	26	double	142.77	1	1
27	27	single	117.37	1	1
28	28	King	143.82	0	0
29	29	King	125.40	1	0
30	30	double	56.98	1	0
